session,horizon,n_universe,mkt_ret,mkt_ret_bps,gate_state,sign,truth_state
2026-02-02,1,475,0.004925654827068837,49.25654827068837,Bearish,1,Bullish
2026-02-02,3,475,-0.005585988875742315,-55.85988875742315,Range,-1,Bearish
2026-02-02,5,475,0.0007124384032074807,7.124384032074807,Range,1,Range
2026-02-03,1,487,-0.009932719947230764,-99.32719947230764,Bullish,-1,Bearish
2026-02-03,3,487,-0.04048733981794529,-404.8733981794529,Range,-1,Bearish
2026-02-03,5,487,0.005228193155898299,52.281931558983,Bullish,1,Bullish
2026-02-04,1,522,-0.0031874622776301644,-31.874622776301642,Range,-1,Bearish
2026-02-04,3,522,0.003546662067706984,35.46662067706984,Range,1,Range
2026-02-04,5,522,0.006977098919029911,69.77098919029912,Range,1,Bullish
2026-02-05,1,522,-0.018308922816081766,-183.08922816081767,Bearish,-1,Bearish
2026-02-05,3,522,0.030764683969772437,307.6468396977244,Bearish,1,Bullish
2026-02-05,5,522,-0.001380145854509163,-13.80145854509163,Range,-1,Range
2026-02-06,1,527,0.023121996832781884,231.21996832781883,Bearish,1,Bullish
2026-02-06,3,527,0.027493658836817914,274.9365883681791,Bearish,1,Bullish
2026-02-06,5,527,0.0172591703259473,172.591703259473,Range,1,Bullish
2026-02-10,1,483,-0.00041760513773386775,-4.176051377338678,Bullish,-1,Range
2026-02-10,3,483,-0.02887992222420583,-288.7992222420583,Range,-1,Bearish
2026-02-10,5,483,-0.020898029566067317,-208.98029566067316,Bullish,-1,Bearish
2026-02-11,1,498,-0.013072765897599722,-130.72765897599723,Range,-1,Bearish
2026-02-11,3,498,-0.021544749258317633,-215.44749258317634,Range,-1,Bearish
2026-02-11,5,498,-0.015259380503978806,-152.59380503978807,Bullish,-1,Bearish
2026-02-12,1,516,-0.026851964262743184,-268.51964262743184,Bullish,-1,Bearish
2026-02-12,3,516,-0.01821850876486709,-182.1850876486709,Bullish,-1,Bearish
2026-02-12,5,516,-0.0059290533674598855,-59.290533674598855,Bullish,-1,Bearish
2026-02-13,1,544,0.009740552053069274,97.40552053069274,Bearish,1,Bullish
2026-02-13,3,544,0.01744767867618296,174.4767867618296,Bearish,1,Bullish
2026-02-13,5,544,0.017327774755283576,173.27774755283576,Range,1,Bullish
2026-02-17,1,513,-0.0009380910199366876,-9.380910199366875,Range,-1,Range
2026-02-17,3,513,0.013145566351717233,131.45566351717233,Range,1,Bullish
2026-02-17,5,513,-0.007879919000119875,-78.79919000119875,Bullish,-1,Bearish
2026-02-18,1,537,0.008906035158245706,89.06035158245706,Range,1,Bullish
2026-02-18,3,537,0.008833334245142103,88.33334245142103,Range,1,Bullish
2026-02-18,5,537,0.00560963543691936,56.0963543691936,Bullish,1,Bullish
2026-02-19,1,552,0.0050911116562656795,50.911116562656794,Range,1,Bullish
2026-02-19,3,552,-0.014070037973615144,-140.70037973615143,Bullish,-1,Bearish
2026-02-19,5,552,0.009028938016399202,90.28938016399202,Bullish,1,Bullish
2026-02-20,1,547,0.0030322420337984923,30.322420337984923,Range,1,Bullish
2026-02-20,3,547,0.0010055759868983472,10.055759868983472,Range,1,Range
2026-02-20,5,547,0.017828295200451462,178.2829520045146,Range,1,Bullish
2026-02-23,1,527,-0.01247506474668537,-124.7506474668537,Bullish,-1,Bearish
